question_id,source_file_name,subject,quiz_name,question_number,difficulty,domain,Primary_Classification,Sub_Classification,Concept_Classification,question_type,question_text,image_url,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation_original,explanation_ai_enhanced,feedback_a,feedback_b,feedback_c,feedback_d
DT-T0-MT-M2-1,DT-T0-MT-M2-Q&A.pdf,Math,DT-T0-MT-M2,1,Easy,Advanced Math,Functions,Graphing,AdvMath_Function_Transformations,multiple_choice,A function never intersects the y-axis. Which of the following could be an equation of the function?,DT-T0-MT-M2-1_image.png,$y = 2x - 5$,$y = 4$,$x = 36$,$y = x$,,$x = 36$,"(C) $x = 36$ does not have a y-intercept, because it runs parallel to the y-axis. Therefore, this equation never intersects the y-axis. Here is a graph of $x = 36$: [Image]. All of the other choices intersect the y-axis one time, because they have a y-value when $x = 0$.","The y-axis is the line where the x-coordinate is always zero ($x=0$). A function intersects the y-axis at its y-intercept. A function can only fail to intersect the y-axis if there is no point on the function where $x=0$. The equation $x = 36$ describes a vertical line where every point on the line has an x-coordinate of 36. Since $x$ can never be 0 for this equation, it never intersects the y-axis.","This is a linear function that intersects the y-axis at $(0, -5)$.","This is a horizontal line that intersects the y-axis at $(0, 4)$.",This is the correct answer. A vertical line of the form $x=c$ (where $c \ne 0$) never intersects the y-axis.,"This is a linear function that intersects the y-axis at the origin $(0, 0)$."
DT-T0-MT-M2-2,DT-T0-MT-M2-Q&A.pdf,Math,DT-T0-MT-M2,2,Easy,Problem-Solving & Data Analysis,Rates_Ratios_Proportions,Calculations,Data_Rates_Ratios_Proportions,multiple_choice,"Andrew's sports car has a speedometer that shows a maximum value of 180 miles per hour. Given that there are approximately 1.61 kilometers in one mile, what would be the maximum value of his speedometer (to the nearest whole number) if it were listed in kilometers per hour?",,112 km/hour,208 km/hour,290 km/hour,314 km/hour,,290 km/hour,(C) Multiply 180 by 1.61 to get the maximum value of the speedometer in kilometers per hour: $180 \text{ miles/hour} \times 1.61 \text{ km/mile} \rightarrow \text{the miles cancel} \rightarrow (180 \times 1.61) \text{ km/hour} \approx 290 \text{ km/hour}$,"This is a unit conversion problem. To convert from miles per hour to kilometers per hour, you multiply the number of miles by the conversion factor. Calculation: $180 \text{ miles} \times 1.61 \frac{\text{km}}{\text{mile}} = 289.8 \text{ km}$. Rounding to the nearest whole number gives 290 km.",This value would result from incorrectly dividing by the conversion factor instead of multiplying.,This value is too low and may result from a calculation error.,"This is the correct answer. $180 \times 1.61 = 289.8$, which rounds to 290.",This value is too high and may result from a calculation error.
DT-T0-MT-M2-3,DT-T0-MT-M2-Q&A.pdf,Math,DT-T0-MT-M2,3,Medium,Algebra,Linear_Equations,Solving_And_Interpreting,Algebra_Solve_Linear_Equation,multiple_choice,"If $\frac{1}{4}a + \frac{1}{3}b = 2$, what is the value of $3a + 4b$?",,4,18,24,36,,24,"(C) To format the equation like $3a + 4b$, multiply the entire equation by 12: $\frac{1}{4}a + \frac{1}{3}b = 2 \rightarrow \text{multiply by 12} \rightarrow 3a + 4b = 24$. Because there are two variables with just one equation, you need to do some sort of manipulation like this; a and b cannot be solved for individually without having another intersecting equation.","To solve this, notice that the expression you want to find ($3a+4b$) looks related to the original equation. The goal is to transform the original equation into the target expression. To eliminate the fractions, multiply the entire equation by the least common multiple of the denominators 4 and 3, which is 12.  $12 \times (\frac{1}{4}a + \frac{1}{3}b) = 12 \times 2$. Distribute the 12: $\frac{12}{4}a + \frac{12}{3}b = 24$. Simplify: $3a + 4b = 24$.",This result is too low and may come from incorrect multiplication.,This answer may come from multiplying by 9 instead of 12.,This is the correct answer. Multiplying the entire given equation by 12 directly yields the value of the expression.,This answer may come from multiplying only one side of the equation or using an incorrect factor.
DT-T0-MT-M2-4,DT-T0-MT-M2-Q&A.pdf,Math,DT-T0-MT-M2,4,Easy,Problem-Solving & Data Analysis,Percentages,Calculations,Data_Percentages,multiple_choice,"If $n$ represents $m$ percent of $x$, how could the value of $n$ be calculated?",,$n = \frac{mx}{100}$,$n = 0.1mx$,$n = \frac{100}{mx}$,$n = 100mx$,,$n = \frac{mx}{100}$,"(A) The formula for calculating a percentage is $\frac{\text{Part}}{\text{Whole}} \times 100 = \text{Percentage}$. So $m$ represents the overall percentage, $n$ represents the part, and $x$ represents the whole. Plugging these values into the original equation gives: $\frac{n}{x} \times 100 = m \rightarrow n = \frac{mx}{100}$","The phrase '$m$ percent' translates mathematically to the fraction $\frac{m}{100}$. 'Percent of $x$' means you multiply this fraction by $x$. So, the value $n$ is calculated as $n = \frac{m}{100} \times x$, which can be rewritten as $n = \frac{mx}{100}$.",This is the correct formula for calculating the value of a percentage of a number.,"This would be correct only if 'percent' meant 'tenth', which it does not.",This is an incorrect arrangement of the variables. It seems to invert the relationship.,"This is incorrect. This formula would be used if you were trying to find a percentage, not the value of the percentage part."
DT-T0-MT-M2-5,DT-T0-MT-M2-Q&A.pdf,Math,DT-T0-MT-M2,5,Medium,Algebra,Linear_Equations,Systems,Algebra_Solve_System_Linear_Elimination,student_produced_response,"A high school is evaluating two different DJs for its prom—DJ A and DJ B. The first one, DJ A, has a $300 rental fee and charges $150 per hour. The second one, DJ B, has a $200 rental fee and charges $175 per hour. After how many hours of performing will the cost for both DJs be the same?",,,,,,,4,"4 Set up equations expressing the total costs for each DJ, where T represents time: DJ A’s cost: $300 + 150T$; DJ B’s cost: $200 + 175T$. Set the equations equal to one another and solve for time: $300 + 150T = 200 + 175T \rightarrow 100 = 25T \rightarrow T = 4$","Let $T$ be the number of hours. The cost for DJ A is $C_A = 300 + 150T$. The cost for DJ B is $C_B = 200 + 175T$. To find when the costs are the same, set $C_A = C_B$: $300 + 150T = 200 + 175T$. Subtract $150T$ from both sides: $300 = 200 + 25T$. Subtract 200 from both sides: $100 = 25T$. Divide by 25: $T = 4$. The cost will be the same after 4 hours.",,,,
DT-T0-MT-M2-6,DT-T0-MT-M2-Q&A.pdf,Math,DT-T0-MT-M2,6,Easy,Advanced Math,Polynomials,Operations_And_Roots,AdvMath_Polynomial_Factorization,multiple_choice,$(x^2 + 3x^2)^3 = ?$,,$3x^{12x}$,$27x^5$,$28x^6$,$64x^6$,,$64x^6$,"(D) Simplify by combining the like terms within the parentheses: $(x^2 + 3x^2)^3 = (4x^2)^3$. Next, cube both the 4 and the $x^2$: $(4x^2)^3 \rightarrow (4^3)(x^2)^3 \rightarrow 64x^6$","First, simplify the expression inside the parentheses by combining like terms: $x^2 + 3x^2 = 4x^2$. Now the expression is $(4x^2)^3$. To raise a product to a power, raise each factor to that power: $(4)^3 \times (x^2)^3$. Calculate the powers: $4^3 = 64$, and for the variable, multiply the exponents: $(x^2)^3 = x^{2 \times 3} = x^6$. The final result is $64x^6$.",This answer comes from incorrectly multiplying and adding exponents and coefficients.,This answer incorrectly cubes the coefficient 3 and adds the exponents.,This answer may come from a miscalculation of $4^3$.,"This is the correct answer. It correctly combines like terms first, then applies the power to both the coefficient and the variable."
DT-T0-MT-M2-7,DT-T0-MT-M2-Q&A.pdf,Math,DT-T0-MT-M2,7,Easy,Problem-Solving & Data Analysis,Rates_Ratios_Proportions,Calculations,Data_Rates_Ratios_Proportions,multiple_choice,"A pastry chef has a recipe that calls for 3 tablespoons of vanilla extract for a cake. The chef has misplaced his tablespoon and has only a teaspoon available—there are 3 teaspoons for each tablespoon. If the chef is making a total of two cakes, how many teaspoons of vanilla extract should he use?",,3,6,12,18,,18,(D) There are 3 teaspoons in each tablespoon. So multiply $3 \times 3 \times 2$ to get the 18 total teaspoons needed for the two cakes.,"First, calculate the number of teaspoons needed for one cake. Since there are 3 teaspoons in a tablespoon, one cake requires $3 \text{ tablespoons} \times 3 \frac{\text{teaspoons}}{\text{tablespoon}} = 9$ teaspoons. Since the chef is making two cakes, the total amount needed is $9 \text{ teaspoons/cake} \times 2 \text{ cakes} = 18$ teaspoons.",This is the number of teaspoons in one tablespoon.,"This would be the correct amount for 2 tablespoons, not 3 tablespoons.",This answer may result from a simple calculation error.,"This is the correct answer. 9 teaspoons are needed per cake, so 18 teaspoons are needed for two cakes."
DT-T0-MT-M2-8,DT-T0-MT-M2-Q&A.pdf,Math,DT-T0-MT-M2,8,Easy,Algebra,Linear_Equations,Solving_And_Interpreting,Algebra_Solve_Linear_Equation,student_produced_response,Solve for x in the equation below: $4x - y = \frac{1}{2}x - y + 7$,,,,,,,2,"2 Cancel out the y-terms on each side, and solve for x: $4x – y = \frac{1}{2}x – y + 7 \rightarrow 4x = \frac{1}{2}x + 7 \rightarrow 3.5x = 7 \rightarrow x = 2$","The term $-y$ appears on both sides of the equation. You can add $y$ to both sides to cancel them out: $4x = \frac{1}{2}x + 7$. To solve for $x$, gather the x-terms on one side. Subtract $\frac{1}{2}x$ from both sides: $4x - \frac{1}{2}x = 7$. This simplifies to $3.5x = 7$. Divide both sides by 3.5: $x = \frac{7}{3.5} = 2$.",,,,
DT-T0-MT-M2-9,DT-T0-MT-M2-Q&A.pdf,Math,DT-T0-MT-M2,9,Easy,Algebra,Linear_Equations,Solving_And_Interpreting,Algebra_Create_Linear_Model,multiple_choice,"A librarian works at a constant pace, simultaneously shelving exactly 200 books in an hour and exactly 20 movies in an hour, and shelving only books and movies. If the librarian works for a total of $T$ hours, which expression shows the total number of items (books and movies) that the librarian shelves during that time?",,$220T$,$20T + 200$,$220T + 440$,$200T – 20$,,$220T$,"(A) For each hour the librarian works, he or she shelves a total of 220 items. Therefore, the total number of items shelved during $T$ hours is $220 \times T$. The other answer choices have constants either added to or subtracted from the term multiplied by $T$. These answer choices would illogically mean that the librarian could shelve or remove items without spending any time at all doing so.","First, find the total number of items the librarian shelves per hour. This is the sum of the books and movies: $200 + 20 = 220$ items per hour. To find the total number of items shelved in $T$ hours, you multiply the rate by the time: $220 \frac{\text{items}}{\text{hour}} \times T \text{ hours} = 220T$ items.",This is the correct answer. It represents the total rate (220 items/hour) multiplied by the number of hours ($T$).,This expression incorrectly mixes a rate with a constant.,"This expression incorrectly adds a constant, which would imply a starting number of items already shelved.",This expression incorrectly subtracts a constant.
DT-T0-MT-M2-10,DT-T0-MT-M2-Q&A.pdf,Math,DT-T0-MT-M2,10,Easy,Geometry & Trigonometry,Triangles,Properties,Geo_Pythagorean_Theorem,student_produced_response,A right triangle has a hypotenuse of 20 inches and another side length of 16 inches. What is the length of the third side of the right triangle in inches?,,,,,,,$12,"12. Use the Pythagorean Theorem, $a^2 + b^2 = c^2$, to solve for the unknown side. Use 20 for the c, because it is the hypotenuse. Use 16 for a, because it is one of the legs of the triangle (you could also use 16 for b). Solve for the unknown side as follows: $a^2 + b^2 = c^2 \rightarrow 16^2 + b^2 = 20^2 \rightarrow 256 + b^2 = 400 \rightarrow b^2= 400 - 256 \rightarrow b^2=144 \rightarrow b=\sqrt{144}=12$","Let the unknown side be $b$. According to the Pythagorean theorem, for a right triangle, $a^2 + b^2 = c^2$, where $c$ is the hypotenuse. We are given $a=16$ and $c=20$. Substitute the values: $16^2 + b^2 = 20^2$. Calculate the squares: $256 + b^2 = 400$. Subtract 256 from both sides: $b^2 = 400 - 256 = 144$. Take the square root of both sides: $b = \sqrt{144} = 12$.",,,,
